country_code,country,region,population,pop_density,GDP,epi_score,sdg_index
UKR,Ukraine,Eastern Europe & Eurasia,45.004645,77.68931796,327.215,52.87,72.7
ARE,United Arab Emirates,Mid East & North Africa,9.269612,110.8805263,622.297,58.9,66
GBR,United Kingdom,Europe & North America,65.637239,271.3067375,2574.94,79.89,78.3
USA,United States of America,Europe & North America,323.127513,35.32444263,17236.2,71.19,72.4
URY,Uruguay,Latin America,3.444006,19.6777854,69.04173629,64.65,71
UZB,Uzbekistan,Eastern Europe & Eurasia,31.8482,74.86647861,192.327,45.88,71.2
VUT,Vanuatu,Pacific,0.270402,22.18228056,0.772396637,44.55,-9999
VEN,Venezuela,Latin America,31.568179,35.78955728,443.8400821,63.89,65.8
VNM,Viet Nam,Asia,92.7011,298.9682975,552.059,46.96,67.9
ZMB,Zambia,Sub-Saharan Africa,16.59139,22.31855419,60.50817421,50.97,51.1
ZWE,Zimbabwe,Sub-Saharan Africa,16.150362,41.74838309,30.35667456,43.41,56.1
